ProductName                                        Listprice             Name        ProductCategory
-------------------------------------------------- --------------------- ----------- --------------------------------------------------
HL Road Frame - Black, 58                          1431.50               14          Components
HL Road Frame - Red, 58                            1431.50               14          Components
Sport-100 Helmet, Red                              34.99                 31          Accessories
Sport-100 Helmet, Black                            34.99                 31          Accessories
Mountain Bike Socks, M                             9.50                  23          Clothing
Mountain Bike Socks, L                             9.50                  23          Clothing
Sport-100 Helmet, Blue                             34.99                 31          Accessories
AWC Logo Cap                                       8.99                  19          Clothing
Long-Sleeve Logo Jersey, S                         49.99                 21          Clothing
Long-Sleeve Logo Jersey, M                         49.99                 21          Clothing
Long-Sleeve Logo Jersey, L                         49.99                 21          Clothing
Long-Sleeve Logo Jersey, XL                        49.99                 21          Clothing
HL Road Frame - Red, 62                            1431.50               14          Components
HL Road Frame - Red, 44                            1431.50               14          Components
HL Road Frame - Red, 48                            1431.50               14          Components
HL Road Frame - Red, 52                            1431.50               14          Components
HL Road Frame - Red, 56                            1431.50               14          Components
LL Road Frame - Black, 58                          337.22                14          Components
LL Road Frame - Black, 60                          337.22                14          Components
LL Road Frame - Black, 62                          337.22                14          Components
LL Road Frame - Red, 44                            337.22                14          Components
LL Road Frame - Red, 48                            337.22                14          Components
LL Road Frame - Red, 52                            337.22                14          Components
LL Road Frame - Red, 58                            337.22                14          Components
LL Road Frame - Red, 60                            337.22                14          Components
LL Road Frame - Red, 62                            337.22                14          Components
ML Road Frame - Red, 44                            594.83                14          Components
ML Road Frame - Red, 48                            594.83                14          Components
ML Road Frame - Red, 52                            594.83                14          Components
ML Road Frame - Red, 58                            594.83                14          Components
ML Road Frame - Red, 60                            594.83                14          Components
LL Road Frame - Black, 44                          337.22                14          Components
LL Road Frame - Black, 48                          337.22                14          Components
LL Road Frame - Black, 52                          337.22                14          Components
HL Mountain Frame - Silver, 42                     1364.50               12          Components
HL Mountain Frame - Silver, 44                     1364.50               12          Components
HL Mountain Frame - Silver, 48                     1364.50               12          Components
HL Mountain Frame - Silver, 46                     1364.50               12          Components
HL Mountain Frame - Black, 42                      1349.60               12          Components
HL Mountain Frame - Black, 44                      1349.60               12          Components
HL Mountain Frame - Black, 48                      1349.60               12          Components
HL Mountain Frame - Black, 46                      1349.60               12          Components
HL Mountain Frame - Black, 38                      1349.60               12          Components
HL Mountain Frame - Silver, 38                     1364.50               12          Components
Road-150 Red, 62                                   3578.27               2           Bikes
Road-150 Red, 44                                   3578.27               2           Bikes
Road-150 Red, 48                                   3578.27               2           Bikes
Road-150 Red, 52                                   3578.27               2           Bikes
Road-150 Red, 56                                   3578.27               2           Bikes
Road-450 Red, 58                                   1457.99               2           Bikes
Road-450 Red, 60                                   1457.99               2           Bikes
Road-450 Red, 44                                   1457.99               2           Bikes
Road-450 Red, 48                                   1457.99               2           Bikes
Road-450 Red, 52                                   1457.99               2           Bikes
Road-650 Red, 58                                   782.99                2           Bikes
Road-650 Red, 60                                   782.99                2           Bikes
Road-650 Red, 62                                   782.99                2           Bikes
Road-650 Red, 44                                   782.99                2           Bikes
Road-650 Red, 48                                   782.99                2           Bikes
Road-650 Red, 52                                   782.99                2           Bikes
Road-650 Black, 58                                 782.99                2           Bikes
Road-650 Black, 60                                 782.99                2           Bikes
Road-650 Black, 62                                 782.99                2           Bikes
Road-650 Black, 44                                 782.99                2           Bikes
Road-650 Black, 48                                 782.99                2           Bikes
Road-650 Black, 52                                 782.99                2           Bikes
Mountain-100 Silver, 38                            3399.99               1           Bikes
Mountain-100 Silver, 42                            3399.99               1           Bikes
Mountain-100 Silver, 44                            3399.99               1           Bikes
Mountain-100 Silver, 48                            3399.99               1           Bikes
Mountain-100 Black, 38                             3374.99               1           Bikes
Mountain-100 Black, 42                             3374.99               1           Bikes
Mountain-100 Black, 44                             3374.99               1           Bikes
Mountain-100 Black, 48                             3374.99               1           Bikes
Mountain-200 Silver, 38                            2319.99               1           Bikes
